Crop,Year,State,Area (\'000 Hectares),Production (\'000 Tonnes),Yield (Kg per Ha))
Finger Millet (Ragi),1966-67,All India,"1,984.20","1,630.60",821.79
Finger Millet (Ragi),1967-68,All India,"2,291.20","1,884.20",822.36
Finger Millet (Ragi),1968-69,All India,"2,238.20","1,648.00",736.31
Finger Millet (Ragi),1969-70,All India,"2,783.40","2,117.20",760.65
Finger Millet (Ragi),1970-71,All India,"2,472.40","2,155.00",871.62
Finger Millet (Ragi),1971-72,All India,"2,425.00","2,208.50",910.72
Finger Millet (Ragi),1972-73,All India,"2,329.30","1,922.90",825.53
Finger Millet (Ragi),1973-74,All India,"2,359.90","2,071.90",877.96
Finger Millet (Ragi),1974-75,All India,"2,463.60","2,135.60",866.86
Finger Millet (Ragi),1975-76,All India,"2,629.50","2,796.70","1,063.59"
Finger Millet (Ragi),1976-77,All India,"2,496.30","2,044.70",819.09
Finger Millet (Ragi),1977-78,All India,"2,599.80","2,866.00","1,102.39"
Finger Millet (Ragi),1978-79,All India,"2,705.10","3,200.40","1,183.10"
Finger Millet (Ragi),1979-80,All India,"2,614.80","2,721.60","1,040.84"
Finger Millet (Ragi),1980-81,All India,"2,525.00","2,419.90",958.38
Finger Millet (Ragi),1981-82,All India,"2,610.40","2,960.50","1,134.12"
Finger Millet (Ragi),1982-83,All India,"2,411.70","2,223.10",921.8
Finger Millet (Ragi),1983-84,All India,"2,558.20","2,831.00","1,106.64"
Finger Millet (Ragi),1984-85,All India,"2,386.90","2,530.10","1,059.99"
Finger Millet (Ragi),1985-86,All India,"2,400.60","2,518.10","1,048.95"
Finger Millet (Ragi),1986-87,All India,"2,404.70","2,708.30","1,126.25"
Finger Millet (Ragi),1987-88,All India,"2,262.00","2,319.00","1,025.20"
Finger Millet (Ragi),1988-89,All India,"2,317.30","2,409.70","1,039.87"
Finger Millet (Ragi),1989-90,All India,"2,343.00","2,766.50","1,180.75"
Finger Millet (Ragi),1990-91,All India,"2,171.30","2,340.00","1,077.70"
Finger Millet (Ragi),1991-92,All India,"2,129.90","2,581.80","1,212.17"
Finger Millet (Ragi),1992-93,All India,"1,905.30","2,531.10","1,328.45"
Finger Millet (Ragi),1993-94,All India,"1,884.30","2,597.20","1,378.34"
Finger Millet (Ragi),1994-95,All India,"1,763.60","2,342.00","1,327.97"
Finger Millet (Ragi),1995-96,All India,"1,773.70","2,501.40","1,410.27"
Finger Millet (Ragi),1996-97,All India,"1,784.20","2,340.10","1,311.57"
Finger Millet (Ragi),1997-98,All India,"1,656.60","2,086.80","1,259.69"
Finger Millet (Ragi),1998-99,All India,"1,758.20","2,608.10","1,483.39"
Finger Millet (Ragi),1999-00,All India,"1,634.40","2,289.50","1,400.82"
Finger Millet (Ragi),2000-01,All India,"1,759.10","2,731.70","1,552.90"
Finger Millet (Ragi),2001-02,All India,"1,646.70","2,374.60","1,442.04"
Finger Millet (Ragi),2002-03,All India,"1,415.00","1,315.70",929.82
Finger Millet (Ragi),2003-04,All India,"1,666.40","1,965.70","1,179.61"
Finger Millet (Ragi),2004-05,All India,"1,552.70","2,432.40","1,566.56"
Finger Millet (Ragi),2005-06,All India,"1,533.90","2,353.60","1,534.39"
Finger Millet (Ragi),2006-07,All India,"1,177.40","1,443.60","1,226.09"
Finger Millet (Ragi),2007-08,All India,"1,387.10","2,152.20","1,551.58"
Finger Millet (Ragi),2008-09,All India,"1,381.40","2,039.90","1,476.69"
Finger Millet (Ragi),2009-10,All India,"1,268.01","1,888.46","1,489.31"
Finger Millet (Ragi),2010-11,All India,"1,286.19","2,193.45","1,705.38"
Finger Millet (Ragi),2011-12,All India,"1,175.78","1,929.24","1,640.81"
Finger Millet (Ragi),2012-13,All India,"1,131.00","1,574.40","1,392.04"
Finger Millet (Ragi),2013-14,All India,"1,193.60","1,982.90","1,661.28"
Finger Millet (Ragi),2014-15,All India,"1,208.10","2,060.90","1,705.90"
Finger Millet (Ragi),2015-16,All India,"1,138.20","1,821.90","1,600.69"
Finger Millet (Ragi),2016-17,All India,"1,016.10","1,385.10","1,363.15"
Finger Millet (Ragi),2017-18,All India,"1,194.29","1,985.24","1,662.27"
Finger Millet (Ragi),2018-19,All India,890.94,"1,238.70","1,390.34"
Finger Millet (Ragi),2019-20,All India,"1,004.46","1,755.06","1,747.27"
Finger Millet (Ragi),1966-67,Andhra Pradesh,339.9,262.5,772.29
Finger Millet (Ragi),1967-68,Andhra Pradesh,311.6,275.7,884.79
Finger Millet (Ragi),1968-69,Andhra Pradesh,314.1,255.5,813.44
Finger Millet (Ragi),1969-70,Andhra Pradesh,339.3,267.4,788.09
Finger Millet (Ragi),1970-71,Andhra Pradesh,290,230.6,795.17
Finger Millet (Ragi),1971-72,Andhra Pradesh,272.6,265.1,972.49
Finger Millet (Ragi),1972-73,Andhra Pradesh,239.1,220.9,923.88
Finger Millet (Ragi),1973-74,Andhra Pradesh,254.7,274.3,"1,076.95"
Finger Millet (Ragi),1974-75,Andhra Pradesh,289.4,318.2,"1,099.52"
Finger Millet (Ragi),1975-76,Andhra Pradesh,324.1,370.4,"1,142.86"
Finger Millet (Ragi),1976-77,Andhra Pradesh,325,307.5,946.15
Finger Millet (Ragi),1977-78,Andhra Pradesh,327.9,353,"1,076.55"
Finger Millet (Ragi),1978-79,Andhra Pradesh,311.6,343.4,"1,102.05"
Finger Millet (Ragi),1979-80,Andhra Pradesh,250.6,265.1,"1,057.86"
Finger Millet (Ragi),1980-81,Andhra Pradesh,254.1,245.3,965.37
Finger Millet (Ragi),1981-82,Andhra Pradesh,258.9,286.9,"1,108.15"
Finger Millet (Ragi),1982-83,Andhra Pradesh,242,233.4,964.46
Finger Millet (Ragi),1983-84,Andhra Pradesh,255.3,262.6,"1,028.59"
Finger Millet (Ragi),1984-85,Andhra Pradesh,226.1,216.2,956.21
Finger Millet (Ragi),1985-86,Andhra Pradesh,212.7,205.9,968.03
Finger Millet (Ragi),1986-87,Andhra Pradesh,182.6,182.3,998.36
Finger Millet (Ragi),1987-88,Andhra Pradesh,173.4,169.3,976.36
Finger Millet (Ragi),1988-89,Andhra Pradesh,168.1,171,"1,017.25"
Finger Millet (Ragi),1989-90,Andhra Pradesh,171,207.8,"1,215.20"
Finger Millet (Ragi),1990-91,Andhra Pradesh,164.1,191.3,"1,165.75"
Finger Millet (Ragi),1991-92,Andhra Pradesh,145.8,152.2,"1,043.90"
Finger Millet (Ragi),1992-93,Andhra Pradesh,144.7,159.3,"1,100.90"
Finger Millet (Ragi),1993-94,Andhra Pradesh,140.3,163.3,"1,163.93"
Finger Millet (Ragi),1994-95,Andhra Pradesh,129.9,171.4,"1,319.48"
Finger Millet (Ragi),1995-96,Andhra Pradesh,126.8,148,"1,167.19"
Finger Millet (Ragi),1996-97,Andhra Pradesh,120,148,"1,233.33"
Finger Millet (Ragi),1997-98,Andhra Pradesh,97.8,90,920.25
Finger Millet (Ragi),1998-99,Andhra Pradesh,103,122,"1,184.47"
Finger Millet (Ragi),1999-00,Andhra Pradesh,96.7,110.6,"1,143.74"
Finger Millet (Ragi),2000-01,Andhra Pradesh,99.2,120.2,"1,211.69"
Finger Millet (Ragi),2001-02,Andhra Pradesh,81.7,102.8,"1,258.26"
Finger Millet (Ragi),2002-03,Andhra Pradesh,71,78,"1,098.59"
Finger Millet (Ragi),2003-04,Andhra Pradesh,78,101,"1,294.87"
Finger Millet (Ragi),2004-05,Andhra Pradesh,69,87,"1,260.87"
Finger Millet (Ragi),2005-06,Andhra Pradesh,66,79,"1,196.97"
Finger Millet (Ragi),2006-07,Andhra Pradesh,59,64,"1,084.75"
Finger Millet (Ragi),2007-08,Andhra Pradesh,55,69,"1,254.55"
Finger Millet (Ragi),2008-09,Andhra Pradesh,50,52,"1,040.00"
Finger Millet (Ragi),2009-10,Andhra Pradesh,45,53,"1,177.78"
Finger Millet (Ragi),2010-11,Andhra Pradesh,42,50,"1,190.48"
Finger Millet (Ragi),2011-12,Andhra Pradesh,42,40,952.38
Finger Millet (Ragi),2012-13,Andhra Pradesh,39,42,"1,076.92"
Finger Millet (Ragi),2013-14,Andhra Pradesh,41.9,43,"1,026.25"
Finger Millet (Ragi),2014-15,Andhra Pradesh,33,34,"1,030.30"
Finger Millet (Ragi),2015-16,Andhra Pradesh,32,34,"1,062.50"
Finger Millet (Ragi),2016-17,Andhra Pradesh,32,35,"1,093.75"
Finger Millet (Ragi),2017-18,Andhra Pradesh,35,44.7,"1,277.00"
Finger Millet (Ragi),2018-19,Andhra Pradesh,32,43.14,"1,348.00"
Finger Millet (Ragi),2019-20,Andhra Pradesh,34,44.88,"1,320.00"
Finger Millet (Ragi),1966-67,Bihar,165.4,82,495.77
Finger Millet (Ragi),1967-68,Bihar,206.1,175.8,852.98
Finger Millet (Ragi),1968-69,Bihar,180.4,99.1,549.33
Finger Millet (Ragi),1969-70,Bihar,175.9,80.8,459.35
Finger Millet (Ragi),1970-71,Bihar,177.4,91.3,514.66
Finger Millet (Ragi),1971-72,Bihar,135.9,53.1,390.73
Finger Millet (Ragi),1972-73,Bihar,144.8,62.8,433.7
Finger Millet (Ragi),1973-74,Bihar,166.6,92.5,555.22
Finger Millet (Ragi),1974-75,Bihar,160.5,72.4,451.09
Finger Millet (Ragi),1975-76,Bihar,181.3,77,424.71
Finger Millet (Ragi),1976-77,Bihar,189.2,96.1,507.93
Finger Millet (Ragi),1977-78,Bihar,182.3,119.1,653.32
Finger Millet (Ragi),1978-79,Bihar,179.7,123.9,689.48
Finger Millet (Ragi),1979-80,Bihar,163.2,79.3,485.91
Finger Millet (Ragi),1980-81,Bihar,177.4,114.2,643.74
Finger Millet (Ragi),1981-82,Bihar,168.8,93.6,554.5
Finger Millet (Ragi),1982-83,Bihar,138.2,74.9,541.97
Finger Millet (Ragi),1983-84,Bihar,150.9,104.4,691.85
Finger Millet (Ragi),1984-85,Bihar,131,107,816.79
Finger Millet (Ragi),1985-86,Bihar,125.5,94.9,756.18
Finger Millet (Ragi),1986-87,Bihar,117.6,75.5,642.01
Finger Millet (Ragi),1987-88,Bihar,103.4,52.2,504.84
Finger Millet (Ragi),1988-89,Bihar,106.7,67.1,628.87
Finger Millet (Ragi),1989-90,Bihar,104.3,80.2,768.94
Finger Millet (Ragi),1990-91,Bihar,97.6,88.2,903.69
Finger Millet (Ragi),1991-92,Bihar,91.1,71.7,787.05
Finger Millet (Ragi),1992-93,Bihar,87.4,63.8,729.98
Finger Millet (Ragi),1993-94,Bihar,94.2,65.6,696.39
Finger Millet (Ragi),1994-95,Bihar,91.3,69.8,764.51
Finger Millet (Ragi),1995-96,Bihar,82.5,74.7,905.45
Finger Millet (Ragi),1996-97,Bihar,80.1,75.7,945.07
Finger Millet (Ragi),1997-98,Bihar,74.3,65.3,878.87
Finger Millet (Ragi),1998-99,Bihar,72,61.3,851.39
Finger Millet (Ragi),1999-00,Bihar,65.7,64.7,984.78
Finger Millet (Ragi),2000-01,Bihar,22.5,24.7,"1,097.78"
Finger Millet (Ragi),2001-02,Bihar,19.6,16.7,852.04
Finger Millet (Ragi),2002-03,Bihar,20.7,14.2,685.99
Finger Millet (Ragi),2003-04,Bihar,15.2,10.4,684.21
Finger Millet (Ragi),2004-05,Bihar,15.6,10.5,673.08
Finger Millet (Ragi),2005-06,Bihar,14.5,11.3,779.31
Finger Millet (Ragi),2006-07,Bihar,14.3,12.5,874.13
Finger Millet (Ragi),2007-08,Bihar,14.5,8.7,600
Finger Millet (Ragi),2008-09,Bihar,11.4,9.3,815.79
Finger Millet (Ragi),2009-10,Bihar,10.4,8.4,807.69
Finger Millet (Ragi),2010-11,Bihar,9,7.2,800
Finger Millet (Ragi),2011-12,Bihar,7.74,9.39,"1,213.18"
Finger Millet (Ragi),2012-13,Bihar,7.9,9.4,"1,189.87"
Finger Millet (Ragi),2013-14,Bihar,7,7.1,"1,014.29"
Finger Millet (Ragi),2014-15,Bihar,6.7,9.8,"1,462.69"
Finger Millet (Ragi),2015-16,Bihar,6.9,9.9,"1,434.78"
Finger Millet (Ragi),2016-17,Bihar,4.8,3.5,729.17
Finger Millet (Ragi),2017-18,Bihar,4.21,4.19,994
Finger Millet (Ragi),2018-19,Bihar,2.88,3.09,"1,071.00"
Finger Millet (Ragi),2019-20,Bihar,2.76,2.19,796
Finger Millet (Ragi),2000-01,Chattisgarh,11.2,2.6,232.14
Finger Millet (Ragi),2001-02,Chattisgarh,10.9,3.2,293.58
Finger Millet (Ragi),2002-03,Chattisgarh,10.5,2.2,209.52
Finger Millet (Ragi),2003-04,Chattisgarh,10.6,3.1,292.45
Finger Millet (Ragi),2004-05,Chattisgarh,10.3,2.7,262.14
Finger Millet (Ragi),2005-06,Chattisgarh,10.5,2.7,257.14
Finger Millet (Ragi),2006-07,Chattisgarh,9.7,2.7,278.35
Finger Millet (Ragi),2007-08,Chattisgarh,9.3,2.6,279.57
Finger Millet (Ragi),2008-09,Chattisgarh,8.4,2.3,273.81
Finger Millet (Ragi),2009-10,Chattisgarh,8.3,2.2,265.06
Finger Millet (Ragi),2010-11,Chattisgarh,8.7,2.4,275.86
Finger Millet (Ragi),2011-12,Chattisgarh,7.7,1.9,246.75
Finger Millet (Ragi),2012-13,Chattisgarh,8.2,2.3,280.49
Finger Millet (Ragi),2013-14,Chattisgarh,6,1.6,266.67
Finger Millet (Ragi),2014-15,Chattisgarh,6.7,1.8,268.66
Finger Millet (Ragi),2015-16,Chattisgarh,6.9,1.3,188.41
Finger Millet (Ragi),2016-17,Chattisgarh,6.3,1.5,238.1
Finger Millet (Ragi),2017-18,Chattisgarh,4.83,1.21,250
Finger Millet (Ragi),2018-19,Chhattisgarh,7.7,1.65,214
Finger Millet (Ragi),2019-20,Chhattisgarh,5.73,1.45,253
Finger Millet (Ragi),2018-19,D & N Haveli,0.92,1.32,"1,440.00"
Finger Millet (Ragi),2019-20,D & N Haveli,0.9,1.49,"1,650.00"
Finger Millet (Ragi),1966-67,Dadra Nagar Haveli,2,1.9,950
Finger Millet (Ragi),1967-68,Dadra Nagar Haveli,2.6,3.3,"1,269.23"
Finger Millet (Ragi),1968-69,Dadra Nagar Haveli,2.6,3.9,"1,500.00"
Finger Millet (Ragi),1969-70,Dadra Nagar Haveli,2.4,1.5,625
Finger Millet (Ragi),1970-71,Dadra Nagar Haveli,2.5,2.3,920
Finger Millet (Ragi),1971-72,Dadra Nagar Haveli,2.5,2.5,"1,000.00"
Finger Millet (Ragi),1972-73,Dadra Nagar Haveli,2.7,1.7,629.63
Finger Millet (Ragi),1973-74,Dadra Nagar Haveli,2.7,2.4,888.89
Finger Millet (Ragi),1974-75,Dadra Nagar Haveli,2.6,2.5,961.54
Finger Millet (Ragi),1975-76,Dadra Nagar Haveli,2.8,2.4,857.14
Finger Millet (Ragi),1976-77,Dadra Nagar Haveli,2.9,2.6,896.55
Finger Millet (Ragi),1977-78,Dadra Nagar Haveli,3,2.8,933.33
Finger Millet (Ragi),1978-79,Dadra Nagar Haveli,2.9,2.9,"1,000.00"
Finger Millet (Ragi),1979-80,Dadra Nagar Haveli,3.3,3.4,"1,030.30"
Finger Millet (Ragi),1980-81,Dadra Nagar Haveli,3,3.6,"1,200.00"
Finger Millet (Ragi),1981-82,Dadra Nagar Haveli,3,4.2,"1,400.00"
Finger Millet (Ragi),1982-83,Dadra Nagar Haveli,2.6,3,"1,153.85"
Finger Millet (Ragi),1983-84,Dadra Nagar Haveli,3,4.5,"1,500.00"
Finger Millet (Ragi),1984-85,Dadra Nagar Haveli,2.8,4.2,"1,500.00"
Finger Millet (Ragi),1985-86,Dadra Nagar Haveli,2.5,3.7,"1,480.00"
Finger Millet (Ragi),1986-87,Dadra Nagar Haveli,2.5,3.8,"1,520.00"
Finger Millet (Ragi),1987-88,Dadra Nagar Haveli,2.4,2.4,"1,000.00"
Finger Millet (Ragi),1988-89,Dadra Nagar Haveli,2.8,3.9,"1,392.86"
Finger Millet (Ragi),1989-90,Dadra Nagar Haveli,2.7,3.5,"1,296.30"
Finger Millet (Ragi),1990-91,Dadra Nagar Haveli,2.3,4.6,"2,000.00"
Finger Millet (Ragi),1991-92,Dadra Nagar Haveli,2,2.8,"1,400.00"
Finger Millet (Ragi),1992-93,Dadra Nagar Haveli,2.1,4.2,"2,000.00"
Finger Millet (Ragi),1993-94,Dadra Nagar Haveli,2,4.1,"2,050.00"
Finger Millet (Ragi),1994-95,Dadra Nagar Haveli,1.8,2.6,"1,444.44"
Finger Millet (Ragi),1995-96,Dadra Nagar Haveli,,2.2,
Finger Millet (Ragi),1996-97,Dadra Nagar Haveli,1.8,2.2,"1,222.22"
Finger Millet (Ragi),1997-98,Dadra Nagar Haveli,1.3,2.1,"1,615.38"
Finger Millet (Ragi),1998-99,Dadra Nagar Haveli,1.4,2,"1,428.57"
Finger Millet (Ragi),1999-00,Dadra Nagar Haveli,1.4,2.3,"1,642.86"
Finger Millet (Ragi),2000-01,Dadra Nagar Haveli,1.5,2.4,"1,600.00"
Finger Millet (Ragi),2001-02,Dadra Nagar Haveli,1.4,1.5,"1,071.43"
Finger Millet (Ragi),2002-03,Dadra Nagar Haveli,1.6,2.3,"1,437.50"
Finger Millet (Ragi),2003-04,Dadra Nagar Haveli,1.5,2.1,"1,400.00"
Finger Millet (Ragi),2004-05,Dadra Nagar Haveli,1.5,2.1,"1,400.00"
Finger Millet (Ragi),2005-06,Dadra Nagar Haveli,1.5,2.1,"1,400.00"
Finger Millet (Ragi),2006-07,Dadra Nagar Haveli,1.5,2.1,"1,400.00"
Finger Millet (Ragi),2007-08,Dadra Nagar Haveli,1.5,2.1,"1,400.00"
Finger Millet (Ragi),2008-09,Dadra Nagar Haveli,1.5,2.1,"1,400.00"
Finger Millet (Ragi),2009-10,Dadra Nagar Haveli,1.31,1.38,"1,054.88"
Finger Millet (Ragi),2010-11,Dadra Nagar Haveli,1.29,2.12,"1,644.69"
Finger Millet (Ragi),2011-12,Dadra Nagar Haveli,1.21,1.2,991.74
Finger Millet (Ragi),2012-13,Dadra Nagar Haveli,1,1.1,"1,100.00"
Finger Millet (Ragi),2013-14,Dadra Nagar Haveli,1,1,"1,000.00"
Finger Millet (Ragi),2014-15,Dadra Nagar Haveli,1,1.1,"1,100.00"
Finger Millet (Ragi),2015-16,Dadra Nagar Haveli,0.9,1.6,"1,777.78"
Finger Millet (Ragi),2016-17,Dadra Nagar Haveli,0.9,1.5,"1,666.67"
Finger Millet (Ragi),2017-18,Dadra Nagar Haveli,0.85,1.45,"1,700.00"
Finger Millet (Ragi),1971-72,Goa,6.3,6.7,"1,063.49"
Finger Millet (Ragi),1972-73,Goa,6.3,6.3,"1,000.00"
Finger Millet (Ragi),1973-74,Goa,6.3,6.4,"1,015.87"
Finger Millet (Ragi),1974-75,Goa,6.3,6.7,"1,063.49"
Finger Millet (Ragi),1975-76,Goa,6.3,5.4,857.14
Finger Millet (Ragi),1976-77,Goa,6.3,5.5,873.02
Finger Millet (Ragi),1977-78,Goa,6.3,5.4,857.14
Finger Millet (Ragi),1978-79,Goa,6.3,5.6,888.89
Finger Millet (Ragi),1979-80,Goa,6.3,6.5,"1,031.75"
Finger Millet (Ragi),1980-81,Goa,6.4,8.2,"1,281.25"
Finger Millet (Ragi),1981-82,Goa,6.4,9.3,"1,453.13"
Finger Millet (Ragi),1982-83,Goa,6.4,8.2,"1,281.25"
Finger Millet (Ragi),1983-84,Goa,6.4,7.8,"1,218.75"
Finger Millet (Ragi),1984-85,Goa,8.6,12.4,"1,441.86"
Finger Millet (Ragi),1985-86,Goa,8.6,10.4,"1,209.30"
Finger Millet (Ragi),1986-87,Goa,1.5,0.9,600
Finger Millet (Ragi),1987-88,Goa,1.2,0.9,750
Finger Millet (Ragi),1988-89,Goa,3.5,3.3,942.86
Finger Millet (Ragi),1989-90,Goa,3.6,3.8,"1,055.56"
Finger Millet (Ragi),1990-91,Goa,3.7,3.8,"1,027.03"
Finger Millet (Ragi),1991-92,Goa,3.8,4.2,"1,105.26"
Finger Millet (Ragi),1992-93,Goa,3.8,3.7,973.68
Finger Millet (Ragi),1993-94,Goa,3.8,3.2,842.11
Finger Millet (Ragi),1994-95,Goa,3,2.5,833.33
Finger Millet (Ragi),1995-96,Goa,2.8,2.6,928.57
Finger Millet (Ragi),1996-97,Goa,2.9,3.5,"1,206.90"
Finger Millet (Ragi),1997-98,Goa,2.8,2.5,892.86
Finger Millet (Ragi),1998-99,Goa,2.5,2.5,"1,000.00"
Finger Millet (Ragi),1999-00,Goa,1,1.1,"1,100.00"
Finger Millet (Ragi),2000-01,Goa,0.5,0.5,"1,000.00"
Finger Millet (Ragi),2001-02,Goa,0.3,0.3,"1,000.00"
Finger Millet (Ragi),2002-03,Goa,0.4,0.3,750
Finger Millet (Ragi),2003-04,Goa,0.4,0.4,"1,000.00"
Finger Millet (Ragi),2004-05,Goa,0.4,0.3,750
Finger Millet (Ragi),2005-06,Goa,0.4,0.5,"1,250.00"
Finger Millet (Ragi),2006-07,Goa,0.3,0.3,"1,000.00"
Finger Millet (Ragi),2007-08,Goa,0.2,0.2,"1,000.00"
Finger Millet (Ragi),2008-09,Goa,0.2,0.2,"1,000.00"
Finger Millet (Ragi),2009-10,Goa,0.2,0.2,"1,000.00"
Finger Millet (Ragi),2010-11,Goa,0.2,0.1,500
Finger Millet (Ragi),2011-12,Goa,0.15,0.14,933.33
Finger Millet (Ragi),2012-13,Goa,0,0.1,
Finger Millet (Ragi),2013-14,Goa,0,0,
Finger Millet (Ragi),2014-15,Goa,0,0,
Finger Millet (Ragi),2015-16,Goa,0,0,
Finger Millet (Ragi),2016-17,Goa,0,0,
Finger Millet (Ragi),2017-18,Goa,0,0,
Finger Millet (Ragi),2018-19,Goa,0,0,
Finger Millet (Ragi),2019-20,Goa,0,0,
Finger Millet (Ragi),1966-67,Gujarat,63.2,26.5,419.3
Finger Millet (Ragi),1967-68,Gujarat,62.4,50.8,814.1
Finger Millet (Ragi),1968-69,Gujarat,55.1,27.9,506.35
Finger Millet (Ragi),1969-70,Gujarat,57.8,55.4,958.48
Finger Millet (Ragi),1970-71,Gujarat,53.1,49.4,930.32
Finger Millet (Ragi),1971-72,Gujarat,52.1,49.4,948.18
Finger Millet (Ragi),1972-73,Gujarat,50.4,24.5,486.11
Finger Millet (Ragi),1973-74,Gujarat,50,46.6,932
Finger Millet (Ragi),1974-75,Gujarat,50.7,28.1,554.24
Finger Millet (Ragi),1975-76,Gujarat,57.5,54.5,947.83
Finger Millet (Ragi),1976-77,Gujarat,48.9,35.3,721.88
Finger Millet (Ragi),1977-78,Gujarat,51.3,38.5,750.49
Finger Millet (Ragi),1978-79,Gujarat,51.3,39.1,762.18
Finger Millet (Ragi),1979-80,Gujarat,50.9,41.5,815.32
Finger Millet (Ragi),1980-81,Gujarat,50,35.6,712
Finger Millet (Ragi),1981-82,Gujarat,47.4,48.7,"1,027.43"
Finger Millet (Ragi),1982-83,Gujarat,47.8,43.2,903.77
Finger Millet (Ragi),1983-84,Gujarat,45,49.1,"1,091.11"
Finger Millet (Ragi),1984-85,Gujarat,44.6,44.2,991.03
Finger Millet (Ragi),1985-86,Gujarat,44.8,33.4,745.54
Finger Millet (Ragi),1986-87,Gujarat,40.7,22.2,545.45
Finger Millet (Ragi),1987-88,Gujarat,35.2,13.9,394.89
Finger Millet (Ragi),1988-89,Gujarat,33.2,29.8,897.59
Finger Millet (Ragi),1989-90,Gujarat,33,26.9,815.15
Finger Millet (Ragi),1990-91,Gujarat,29.9,25.4,849.5
Finger Millet (Ragi),1991-92,Gujarat,28.6,19.9,695.8
Finger Millet (Ragi),1992-93,Gujarat,24.8,20.1,810.48
Finger Millet (Ragi),1993-94,Gujarat,25.8,27.5,"1,065.89"
Finger Millet (Ragi),1994-95,Gujarat,20,16,800
Finger Millet (Ragi),1995-96,Gujarat,18.9,17.9,947.09
Finger Millet (Ragi),1996-97,Gujarat,20.2,19.1,945.54
Finger Millet (Ragi),1997-98,Gujarat,18.9,17.9,947.09
Finger Millet (Ragi),1998-99,Gujarat,19.7,20.4,"1,035.53"
Finger Millet (Ragi),1999-00,Gujarat,19.4,21.5,"1,108.25"
Finger Millet (Ragi),2000-01,Gujarat,19.6,14,714.29
Finger Millet (Ragi),2001-02,Gujarat,21,21.5,"1,023.81"
Finger Millet (Ragi),2002-03,Gujarat,24.6,15.9,646.34
Finger Millet (Ragi),2003-04,Gujarat,21,24.1,"1,147.62"
Finger Millet (Ragi),2004-05,Gujarat,24.3,25.8,"1,061.73"
Finger Millet (Ragi),2005-06,Gujarat,24,22,916.67
Finger Millet (Ragi),2006-07,Gujarat,17,11,647.06
Finger Millet (Ragi),2007-08,Gujarat,22,18,818.18
Finger Millet (Ragi),2008-09,Gujarat,19,20,"1,052.63"
Finger Millet (Ragi),2009-10,Gujarat,14,11,785.71
Finger Millet (Ragi),2010-11,Gujarat,20,14,700
Finger Millet (Ragi),2011-12,Gujarat,16,13,812.5
Finger Millet (Ragi),2012-13,Gujarat,14,14,"1,000.00"
Finger Millet (Ragi),2013-14,Gujarat,14,14,"1,000.00"
Finger Millet (Ragi),2014-15,Gujarat,20,16,800
Finger Millet (Ragi),2015-16,Gujarat,19,15,789.47
Finger Millet (Ragi),2016-17,Gujarat,19,27,"1,421.05"
Finger Millet (Ragi),2017-18,Gujarat,12,10.75,896
Finger Millet (Ragi),2018-19,Gujarat,11.99,9.64,804
Finger Millet (Ragi),2019-20,Gujarat,11.61,10.01,862
Finger Millet (Ragi),1966-67,Haryana,0.2,0.1,500
Finger Millet (Ragi),1967-68,Haryana,0.7,,0
Finger Millet (Ragi),1968-69,Haryana,,,
Finger Millet (Ragi),1969-70,Haryana,,,
Finger Millet (Ragi),1970-71,Haryana,,,
Finger Millet (Ragi),1971-72,Haryana,,,
Finger Millet (Ragi),1972-73,Haryana,,,
Finger Millet (Ragi),1973-74,Haryana,,,
Finger Millet (Ragi),1974-75,Haryana,,,
Finger Millet (Ragi),1975-76,Haryana,,,
Finger Millet (Ragi),1976-77,Haryana,,,
Finger Millet (Ragi),1977-78,Haryana,,,
Finger Millet (Ragi),1978-79,Haryana,,,
Finger Millet (Ragi),1979-80,Haryana,,,
Finger Millet (Ragi),1980-81,Haryana,,,
Finger Millet (Ragi),1981-82,Haryana,,,
Finger Millet (Ragi),1982-83,Haryana,,,
Finger Millet (Ragi),1983-84,Haryana,,,
Finger Millet (Ragi),1984-85,Haryana,,,
Finger Millet (Ragi),1985-86,Haryana,,,
Finger Millet (Ragi),1986-87,Haryana,,,
Finger Millet (Ragi),1987-88,Haryana,,,
Finger Millet (Ragi),1988-89,Haryana,,,
Finger Millet (Ragi),1989-90,Haryana,,,
Finger Millet (Ragi),1990-91,Haryana,,,
Finger Millet (Ragi),1991-92,Haryana,,,
Finger Millet (Ragi),1992-93,Haryana,,,
Finger Millet (Ragi),1993-94,Haryana,,,
Finger Millet (Ragi),1994-95,Haryana,,,
Finger Millet (Ragi),1995-96,Haryana,,,
Finger Millet (Ragi),1996-97,Haryana,,,
Finger Millet (Ragi),1997-98,Haryana,,,
Finger Millet (Ragi),1998-99,Haryana,,,
Finger Millet (Ragi),1999-00,Haryana,,,
Finger Millet (Ragi),2000-01,Haryana,,,
Finger Millet (Ragi),2001-02,Haryana,,,
Finger Millet (Ragi),2002-03,Haryana,,,
Finger Millet (Ragi),2003-04,Haryana,,,
Finger Millet (Ragi),2004-05,Haryana,,,
Finger Millet (Ragi),2005-06,Haryana,,,
Finger Millet (Ragi),2006-07,Haryana,,,
Finger Millet (Ragi),2007-08,Haryana,,,
Finger Millet (Ragi),2008-09,Haryana,,,
Finger Millet (Ragi),2009-10,Haryana,,,
Finger Millet (Ragi),2010-11,Haryana,,,
Finger Millet (Ragi),2011-12,Haryana,,,
Finger Millet (Ragi),2012-13,Haryana,,,
